CCL13
CCL18
CCL2
CCL20
CCL23
CCL24
CCL3
CCL4
CCL5
CCL7
CCR2
CCR5
CXCL10
CXCL11
CXCL5
CXCL8
CXCL9
CXCR2
CXCR6
IFNG
IL1R1
IL1R2
IL27
IL2RB
TNF
