"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"MS4A1","MS4A1","931",2.97947604117406,-0.310402920675889,27.0396935847609,2.97802813813679e-152,4.76514282383268e-148
"RGS13","RGS13","6003",1.71449964920771,-1.39214800536097,23.6464808825119,1.63077492933595e-118,1.30470148221523e-114
"PCLAF","PCLAF","9768",1.96648736922012,-1.3772710191326,23.2708892075769,5.25338054707525e-115,2.80197807112503e-111
"CD79A","CD79A","973",2.48915635613393,-0.48413109222268,22.8371858983436,5.16670467090405e-111,2.06681103597839e-107
"TYMS","TYMS","7298",1.75258244480468,-1.3905642345359,19.6629292224091,9.68771517520476e-84,3.10026261036903e-80
"HMGB2","HMGB2","3148",2.93216410743719,-0.864310138184511,17.2625416998498,1.72471362638077e-65,4.59952378928645e-62
"CD79B","CD79B","974",2.15707710338293,-0.725333658423284,16.7298736653908,9.9731546757698e-62,2.27972068524275e-58
"MKI67","MKI67","4288",1.62498360411551,-1.38001409637439,14.4789688785,5.11194066798918e-47,1.02245203285619e-43
"BCAS4","BCAS4","55653",1.77178115784979,-1.11533771109308,14.1662315350811,3.96223689187778e-45,7.04441694521515e-42
"CORO1A","CORO1A","11151",2.25296294559586,0.194708411951507,13.4367755435214,7.18049175592445e-41,1.14895048586547e-37
"STMN1","STMN1","3925",2.34513762456719,-0.91474619877357,13.3781276786298,1.54678113680531e-40,2.2500040881838e-37
"TK1","TK1","7083",1.25955292096227,-1.40207027920756,13.04187643108,1.18577718077064e-38,1.58113505579258e-35
"PTTG1","PTTG1","9232",1.79694973212633,-1.26112800628428,12.3830792237523,4.32846922051032e-35,5.32767969210658e-32
"FCRLA","FCRLA","84824",1.53936923193142,-1.18877618678299,12.3682984749782,5.17936208648723e-35,5.91964091042015e-32
"UBE2C","UBE2C","11065",1.51052863520128,-1.37761661691155,12.2895245910711,1.34336966954451e-34,1.43301720549211e-31
"MYBL2","MYBL2","4605",1.10051379081101,-1.39988758239662,12.0110921421428,3.72680276330345e-33,3.72703568847615e-30
"BIRC5","BIRC5","332",1.18859826005784,-1.41460803729927,11.5427977297536,8.48022559708469e-31,7.98188763405601e-28
"TOP2A","TOP2A","7153",1.46882240788018,-1.37025474242495,11.3823907014815,5.19387477277314e-30,4.61706612439683e-27
"LRMP","LRMP",NA,1.78073657845739,-0.958501014477593,11.3125484699126,1.13487724063202e-29,9.55745827755421e-27
"HMGB1","HMGB1","3146",2.65338691127688,0.899015604053962,11.0153902708912,3.00055765772133e-28,2.40059615405995e-25
"AURKB","AURKB","9212",0.954099456293082,-1.43403308941958,10.8918927441568,1.14226901464416e-27,8.70354595396249e-25
"RRM2","RRM2","6241",1.16154254444653,-1.41491311963986,10.8462828962772,1.86474064766942e-27,1.35625977742538e-24
"HMGN2","HMGN2","3151",2.38339915366235,0.0448395971854862,10.7846394864733,3.60538776779831e-27,2.50825259445829e-24
"ANP32B","ANP32B","10541",2.3797240252461,0.144961370252284,10.7537538540859,5.00997659295693e-27,3.34019314432933e-24
"HMCES","HMCES","56941",1.26219162905026,-1.31317482765603,10.6546219626141,1.43160829499836e-26,9.16286573130753e-24
"CCNB2","CCNB2","9133",1.06163167177661,-1.42149257952656,10.639467454128,1.67950110193434e-26,1.03360373584813e-23
"NUSAP1","NUSAP1","51203",1.34518119557219,-1.36338899291552,10.5769929092282,3.23679575802019e-26,1.91822107126226e-23
"CENPF","CENPF","1063",1.42060839522684,-1.34457689548573,10.4605903352388,1.08835650635149e-25,6.21956873504651e-23
"LIMD2","LIMD2","80774",1.83975349348367,-0.260651325684398,10.3626183429203,2.99063706035689e-25,1.65010977940588e-22
"ACY3","ACY3","91703",0.986889755935326,-1.41422586941938,10.3086663492483,5.19806548249488e-25,2.77247485951336e-22
"PARP1","PARP1","142",1.91204323072839,-0.730828307686907,10.1592560390708,2.36863986227484e-24,1.22260020762128e-21
"C12orf75","C12orf75","387882",1.54465562985994,-0.919585619322478,10.0280740022402,8.81630408206772e-24,4.40842755053643e-21
"CKS2","CKS2","1164",1.62930655458716,-1.15607722765734,9.98996454606591,1.28761807223045e-23,6.24338690113923e-21
"TCL1A","TCL1A","8115",1.54629773442986,-1.21635425474313,9.89574597613797,3.26539168173289e-23,1.53675094998259e-20
"ODC1","ODC1","4953",1.74221163017585,-0.877318981135498,9.84672764041472,5.2815591659119e-23,2.41457794896446e-20
"POU2AF1","POU2AF1","5450",1.35460524930303,-1.17461953705186,9.82421224927816,6.58191347864569e-23,2.92547771032805e-20
"H2AFZ","H2AFZ",NA,2.50681114642564,0.0629711679153037,9.77985514551818,1.01406296497375e-22,4.38541121690406e-20
"SMC2","SMC2","10592",1.39512021906137,-1.22778898059373,9.57319414097144,7.41306913274284e-22,3.12148734718469e-19
"SYNE2","SYNE2","23224",1.67886851380824,-1.04733408736758,9.34318432110626,6.47054338882496e-21,2.65474781447662e-18
"WDR76","WDR76","79968",0.983859174924759,-1.39905178972406,9.25085636428878,1.52241062938836e-20,6.0900231202108e-18
"HELLS","HELLS","3070",1.15684997807731,-1.33047126816808,9.18882298850402,2.69295099064546e-20,1.050973385398e-17
"POU2F2","POU2F2","5452",1.68171367698933,-0.41757264909567,9.0340267429884,1.10006728558567e-19,4.19099443729914e-17
"DUT","DUT","1854",1.80912066398495,-0.740795866423797,8.94705231921629,2.40157950763177e-19,8.93666830270137e-17
"TUBB","TUBB","203068",2.13121379321935,-0.206586335663749,8.88191891749903,4.28928379894607e-19,1.55983704697582e-16
"RAC2","RAC2","5880",1.66387631325189,-0.37659004432984,8.74981610012943,1.37369586340555e-18,4.86947231770052e-16
