"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"FCRL4","FCRL4","83417",2.41225071731199,-1.28877631747901,56.9309567191591,0,0
"BANK1","BANK1","55024",2.53601468942808,-0.678859967961626,41.1440237897964,0,0
"MS4A1","MS4A1","931",4.0077357476829,-0.310402920675889,77.7726799983628,0,0
"CD79A","CD79A","973",3.07399443595479,-0.48413109222268,60.0656752668563,0,0
"TNFRSF13B","TNFRSF13B","23495",2.11792280346716,-1.10819747045409,35.6176186780658,2.77555915873647e-252,8.88234441978846e-249
"CD52","CD52","1043",3.0626472920406,0.423600695455833,33.9667611511396,1.5015036218707e-231,4.00425990892552e-228
"FCRL5","FCRL5","83416",2.18468933377243,-1.03541227543967,32.3400219883648,9.00278477961068e-212,2.05790798940786e-208
"LTB","LTB","4050",3.02264966886053,-0.200828237870681,32.0099569102478,7.67527507441446e-208,1.53515095582132e-204
"CD79B","CD79B","974",2.03995067100612,-0.725333658423284,31.1553324155808,8.51132418230269e-198,1.51321886934473e-194
"CORO1A","CORO1A","11151",2.42113007220819,0.194708411951507,29.7629298488761,7.49036401752548e-182,1.19853314644425e-178
"POU2F2","POU2F2","5452",2.35011800312268,-0.41757264909567,29.2563876039332,3.48218713823074e-176,5.06531603625727e-173
"CD19","CD19","930",1.7738402172105,-1.05078806945474,28.3992652184221,9.23610724628058e-167,1.23155793373113e-163
"RAC2","RAC2","5880",2.31019703066841,-0.37659004432984,28.1530065479612,4.30303045303879e-164,5.29636848300567e-161
"CD48","CD48","962",2.30660084681325,-0.155690651054405,27.7726026590942,5.25640828781247e-160,6.0076992152348e-157
"SPIB","SPIB","6689",2.00132666032676,-0.895891844545778,27.6786149016497,5.29531625324717e-159,5.64869035788053e-156
"IGHA1","IGHA1","3493",2.09035732432839,-1.11325498673272,27.4693987285413,8.86371099583883e-157,8.86426497777607e-154
"TNFRSF13C","TNFRSF13C","115650",1.78500967410657,-0.897461556039223,26.8038619718178,8.59952847993725e-150,8.09417971808682e-147
"CCDC50","CCDC50","152137",2.05429080921823,-0.612655883515858,24.3426213623069,3.87675107266029e-125,3.4462163285354e-122
"ACAP1","ACAP1","9744",1.82103459416974,-0.778007404689963,24.0787976381,1.31018111346211e-122,1.10337936823722e-119
"LIMD2","LIMD2","80774",2.02538602197497,-0.260651325684398,23.9360664905554,2.9927297258543e-121,2.39433341716973e-118
"CD37","CD37","951",1.91254796507133,0.430950975748776,21.9695144599936,3.25184379242361e-103,2.47775012012239e-100
"COTL1","COTL1","23406",2.18835105453849,0.539122665139055,21.8635574583055,2.79931830490297e-102,2.03599509985239e-99
"TLR10","TLR10","81793",1.555887093865,-1.02158026244072,21.1549544061138,3.98696763637297e-96,2.77371604998278e-93
"FCRLA","FCRLA","84824",1.36172858640828,-1.18877618678299,20.2549505145381,1.46377170520199e-88,9.75908793955707e-86
"FCRL2","FCRL2","79368",1.38389850593093,-1.20400604339058,19.7296595913091,2.81235209218434e-84,1.80001783308167e-81
"SMIM14","SMIM14","201895",1.89476467443995,-0.400078068923862,19.1418148594839,1.33716767747038e-79,8.22923846430905e-77
"RIPOR2","RIPOR2","9750",1.58488209466752,-0.732876913682959,18.4939951003565,1.36854119870942e-74,8.11038063724056e-72
"LAPTM5","LAPTM5","7805",1.77521240727035,0.656848573347653,18.4280766061162,4.34019385162375e-74,2.4802657792797e-71
"PTPN1","PTPN1","5770",1.6864437734928,-0.678510841490227,18.4237149877259,4.68402731011892e-74,2.58445244790389e-71
"PKIG","PKIG","11142",1.40898242313641,-1.0233975438965,18.3338475295716,2.24534292831661e-73,1.1975910731998e-70
"HLA-DQA1","HLA-DQA1","3117",1.83043997190568,1.73070186555574,18.0462334379411,3.23462986977494e-71,1.66959072729899e-68
"ARHGDIB","ARHGDIB","397",1.77808312394352,0.319508898725299,17.9778731056375,1.04328509760921e-70,5.21675151463905e-68
"CLECL1","CLECL1","160365",1.36466364579696,-1.09878754998533,17.8923652135946,4.4888284932771e-70,2.17653771881597e-67
"CD82","CD82","3732",1.49799125183935,-0.988989053655826,17.8552703829289,8.43759349466483e-70,3.970880397298e-67
"C12orf75","C12orf75","387882",1.42915939533271,-0.919585619322478,17.7497958447108,5.04398193504224e-69,2.30596442693174e-66
