"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"C1orf54","C1orf54","79630",3.12602183891805,-1.26349929881021,61.3082978495521,0,0
"XCR1","XCR1","2829",1.79093040954287,-1.42199246983525,78.5739555369794,0,0
"CPVL","CPVL","54504",4.24084345174453,-0.672938516660981,51.8122162103349,0,0
"CADM1","CADM1","23705",1.89998392975641,-1.40390608157777,57.4440524414303,0,0
"CLEC9A","CLEC9A","283420",3.57705679179428,-1.36638616605952,159.00072316761,0,0
"LGALS2","LGALS2","3957",3.90588219521256,-0.801915258647008,42.1607627869998,0,0
"ENPP1","ENPP1","5167",1.48806389528417,-1.40703148253466,37.3607105124139,7.38164442246153e-275,1.68733846291153e-271
"WDFY4","WDFY4","57705",3.02804900153527,-0.992232415085181,36.2393686817391,2.94678631460639e-260,5.89394097750211e-257
"RAB32","RAB32","10981",2.82586275950678,-0.772158896086308,34.5723526649474,4.43014628961024e-239,7.87630786445039e-236
"FGL2","FGL2","10875",2.87061305675058,-0.578596514801319,32.3475560397762,7.31686665041942e-212,1.17077183273361e-208
"S100B","S100B","6285",2.60105509446352,-1.24016111690353,32.0525003754108,2.39903314117876e-208,3.48972084472739e-205
"NAAA","NAAA","27163",2.83861176637762,-0.902443939093322,31.6956189329245,4.00045412660376e-204,5.33427220664889e-201
"CPNE3","CPNE3","8895",2.66097306890453,-1.03171903667761,29.7410025288645,1.32227969437347e-181,1.62752287612845e-178
"HLA-DPB1","HLA-DPB1","3115",3.98661685688808,2.45937090380257,28.5911530321646,7.4837783314268e-169,8.55342407722573e-166
"CST3","CST3","1471",4.848459564784,1.13930916101699,28.0674201932622,3.60565535312975e-163,3.84627275369528e-160
"BATF3","BATF3","55509",2.14682601677003,-1.14715308152229,27.5609675672369,9.46117482311939e-158,9.46176614654584e-155
"IRF8","IRF8","3394",3.00754398437065,-0.611259045921244,27.3373149884198,2.21210348304046e-155,2.08210987247826e-152
"RGS10","RGS10","6001",3.01780936549875,-0.0900841411085089,27.1765023883365,1.09358492652437e-153,9.72136244962021e-151
"ID2","ID2","3398",3.02593901405372,-0.638910002260074,26.9194964846514,5.37159300845924e-151,4.52372945938718e-148
"SERPINF1","SERPINF1","5176",2.27937769397901,-0.93689546847092,26.2611318247714,3.41069982887651e-144,2.72873039809265e-141
"HLA-DPA1","HLA-DPA1","3113",3.71514934734878,2.65409108879687,25.366776892874,3.63225835340768e-135,2.76760790061316e-132
"CLNK","CLNK","116449",1.51195928402014,-1.36495365656833,25.1727233813993,3.06112847473709e-133,2.22641439655764e-130
"HLA-DQA1","HLA-DQA1","3117",3.10675548889373,1.73070186555574,24.5052459754715,1.04340782153558e-126,7.25894284886558e-124
"SHTN1","SHTN1","57698",1.99881954830155,-1.10454638889024,23.9332602804193,3.18210831947415e-121,2.12153813416275e-118
"RGCC","RGCC","28984",3.14680953682736,-0.434111696066718,23.2762084868861,4.68900941015184e-115,3.00115358287358e-112
"SNX3","SNX3","8724",3.17935436488383,0.20676036160354,23.2574829113594,6.9951141486145e-115,4.30495467276849e-112
