Pathway,NGenes,Direction,PValue,FDR
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Down,1.9238764637938012e-165,1.296692736597022e-162
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,3.9520834585898306e-146,1.3318521255447729e-143
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Down,1.231035603992098e-131,2.7657266569689134e-129
REACTOME_PD1_SIGNALING,17,Down,8.431621644073245e-109,1.4207282470263417e-106
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Down,2.705096407637097e-93,3.646469957494807e-91
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Down,3.420725849811433e-71,3.8426153712881763e-69
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,20,Down,9.139379792924028e-58,8.799917114901136e-56
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Down,7.62848957321695e-48,6.427002465435281e-46
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Down,3.685428389682368e-42,2.7599763718287952e-40
REACTOME_TCR_SIGNALING,48,Down,1.67550370115953e-41,1.1292894945815234e-39
REACTOME_INTERFERON_SIGNALING,137,Down,3.6766153341444492e-31,2.252762486557599e-29
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Down,4.080644466098833e-30,2.2919619751255113e-28
REACTOME_ER_PHAGOSOME_PATHWAY,55,Down,1.352244838311682e-28,7.01086939247749e-27
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,8,Down,1.9783690290807443e-26,9.524433754288727e-25
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,68,Down,4.837863126609222e-26,2.1738131648897436e-24
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,13,Down,9.717994398246855e-23,4.0937051402614875e-21
REACTOME_MRNA_SPLICING,102,Down,4.103801510563422e-21,1.6270365988939686e-19
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Down,4.0785898879821084e-18,1.5272053247221893e-16
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,5.194722468227369e-18,1.842759443992235e-16
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_,77,Down,1.8468566752387572e-17,6.062005333241027e-16
