"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"MS4A6A","MS4A6A","64231",3.22765686783201,-0.308608027684546,44.8405698623318,0,0
"AIF1","AIF1","199",2.82004282725943,-0.271817911265016,35.7931316169279,1.58985096896798e-254,1.27196026772283e-250
"CSF1R","CSF1R","1436",2.07947360351266,-0.964026189539935,34.3369170926414,3.84101565164813e-236,2.04866971473406e-232
"FCGR2A","FCGR2A","2212",2.24790391861597,-0.719547394556696,32.8056543488181,2.29856640701507e-217,9.19484026966205e-214
"TREM2","TREM2","54209",1.70210672366393,-1.25363252172505,31.7737350339678,4.79528271358622e-205,1.53458637400186e-201
"CLEC10A","CLEC10A","10462",2.17030915888382,-0.710582509721231,31.6079514282191,4.30664227230883e-203,1.14850971665356e-199
"F13A1","F13A1","2162",1.51372474320714,-1.30809865617015,31.452207449293,2.90109016745211e-201,6.63147768134304e-198
"C1QC","C1QC","714",2.70435344108315,-0.864208893041246,31.1872032229006,3.62143009499014e-198,7.24331286874215e-195
"FCER1G","FCER1G","2207",2.6405252792587,0.178534319509726,29.8309769384002,1.28141716739316e-182,2.27821734393977e-179
"TYROBP","TYROBP","7305",2.61423619058921,0.468643494679234,28.9628375642107,6.208406189365e-173,9.93407074360293e-170
"FCGR2B","FCGR2B","2213",2.19783042963573,-0.505904937960656,28.06795589164,3.55805261019814e-163,5.1756727105255e-160
"FPR3","FPR3","2359",1.77913692015968,-0.928326500279305,28.0308382659148,8.93171487382862e-163,1.19096974746776e-159
"FGL2","FGL2","10875",1.98286250117138,-0.578596514801319,27.6751131016189,5.77057095560633e-159,7.10268506620437e-156
"FCGR3A","FCGR3A","2214",2.0401236139882,-1.03969026645642,27.4055253149697,4.20651227014503e-156,4.80774305961361e-153
"MNDA","MNDA","4332",2.14473687652409,-0.617584893841925,27.4024716107819,4.53132311180571e-156,4.83371340746688e-153
"CPM","CPM","1368",1.75520242126227,-1.14489049504187,27.193828284888,7.18966817655592e-154,7.19011753081695e-151
"CLEC7A","CLEC7A","64581",1.8652672111752,-0.760524373184931,27.0740393569578,1.30071707329611e-152,1.22428081704771e-149
"HLA-DQA1","HLA-DQA1","3117",2.56538647869138,1.73070186555574,26.9208933974516,5.19432443361742e-151,4.61746584790624e-148
"HLA-DQB1","HLA-DQB1","3119",2.53291119548757,1.64615674316703,25.5150641789183,1.20407367626443e-136,1.0140201523109e-133
"YWHAH","YWHAH","7533",2.54086834322315,-0.0482250904259648,25.1152562921103,1.13208738071334e-132,9.05726508939708e-130
"TGFBI","TGFBI","7045",1.86170470985937,-0.826943909813165,24.9713193602561,2.96447457235277e-131,2.25878845867698e-128
"IGSF6","IGSF6","10261",1.80815920290641,-0.622726710894289,24.5744780944662,2.2258341448932e-127,1.61888964329255e-124
"LYZ","LYZ","4069",3.10754795376499,1.30384572445746,24.1492877624344,2.77880399488355e-123,1.93320185748398e-120
"CD14","CD14","929",2.21640402794961,-0.936778745424568,24.121675836164,5.10338508925152e-123,3.40246936721307e-120
"HLA-DPB1","HLA-DPB1","3115",2.632375920592,2.45937090380257,24.0729155363097,1.49092915397905e-122,9.54254295712749e-120
"MRC1","MRC1","4360",2.17142663199244,-0.710618450420994,23.8534533694806,1.81751859804865e-120,1.11854288797601e-117
"C1QA","C1QA","712",2.74606941067214,-0.415042448829576,23.78995673181,7.24599619363885e-120,4.2941920405339e-117
"HLA-DPA1","HLA-DPA1","3113",2.67292531636482,2.65409108879687,23.6700647620521,9.78526802475269e-119,5.59193120228814e-116
"HLA-DRB1","HLA-DRB1","3123",2.7711922941024,2.74832639073421,23.5933559798115,5.14516686918791e-118,2.83889017496123e-115
"MS4A7","MS4A7","58475",2.03575339042891,-0.519658646773263,22.6012555772728,7.22626621842493e-109,3.85424952536724e-106
"PLXDC2","PLXDC2","84898",1.60209143594917,-0.904289950776069,21.830710379475,5.44634170396296e-102,2.8111907614552e-99
"LST1","LST1","7940",1.93036367185208,-0.203757180236375,21.2044047891195,1.50252555287568e-96,7.51309730361369e-94
"HLA-DRA","HLA-DRA","3122",2.64897273566539,3.65154576855767,20.9708803072371,1.48192521071195e-94,7.1855409989703e-92
"MAFB","MAFB","9935",1.65030952993668,-1.1380582994519,20.9329015198349,3.11406791866349e-94,1.46553531666278e-91
"HLA-DRB5","HLA-DRB5","3127",2.10451625653593,0.863311172867785,20.8086846434107,3.50450334884366e-93,1.60215880242421e-90
"LGALS1","LGALS1","3956",2.49999399068941,0.573189749542285,20.5834773974918,2.73476763789037e-91,1.21552824927455e-88
"TMEM176B","TMEM176B","28959",1.69239581570816,-0.988193802146329,20.4030188745273,8.71764357049089e-90,3.77002742625472e-87
"CTSZ","CTSZ","1522",2.2228707122016,0.683885724421294,20.3716597022311,1.58671799407972e-89,6.68133542717621e-87
"SLCO2B1","SLCO2B1","11309",1.30717172370871,-1.23721861898961,19.7418179016515,2.24403418016877e-84,9.20686946586679e-82
"C3AR1","C3AR1","719",1.25163705338945,-1.23894463004329,19.5970044452574,3.27588597194958e-83,1.31043628592913e-80
"OLR1","OLR1","4973",1.62588243185483,-0.962149289408014,19.4374594172354,6.15741286439121e-82,2.40304300592985e-79
"NPC2","NPC2","10577",1.99707216258138,0.113762324835773,19.2960505253693,8.14737271331124e-81,3.10395501870698e-78
"SAMHD1","SAMHD1","25939",1.77771631689716,-0.178412619847654,19.2453826496729,2.04717743282197e-80,7.6178804889731e-78
"C1orf162","C1orf162","128346",1.73731118231769,-0.510530276951343,18.2304603978381,1.35111505717654e-72,4.91345273406406e-70
"TNFSF13B","TNFSF13B","10673",1.53723905695693,-0.780661645012476,18.1904084442347,2.70135846166538e-72,9.60543038780173e-70
"HLA-DMA","HLA-DMA","3108",1.86887683990256,0.782554892813343,18.1816709942726,3.14155093950466e-72,1.09278166484813e-69
