"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"MARCO","MARCO","8685",3.3325255892248,-1.08670308357181,22.0482345816212,6.53221995430528e-104,1.04522051488839e-99
"HP","HP","3240",1.46088262929403,-1.39491371047096,17.0124134246519,1.0388107966248e-63,8.31100577839673e-60
"MCEMP1","MCEMP1","199675",2.55234057871739,-1.121684536439,16.8192146257828,2.37275992256724e-62,1.26555105069995e-58
"C1QA","C1QA","712",3.92760345962919,-0.415042448829576,16.3134014654639,7.34614722012479e-59,2.93864254173042e-55
"SERPING1","SERPING1","710",1.99312267336092,-1.23631179919448,15.7620200211895,3.63969558132785e-55,1.16477537993654e-51
"CES1","CES1","1066",1.84355143578807,-1.1903378426285,14.5600717918486,1.63079580802942e-47,4.34906062071312e-44
"APOE","APOE","348",3.34618705164192,-0.607578494572805,14.2876537556266,7.39456490383238e-46,1.6902919003746e-42
"PCOLCE2","PCOLCE2","26577",1.18708804498225,-1.41784141578432,14.0011185243894,3.80236138482436e-44,7.60519806482182e-41
"C1QB","C1QB","713",3.40123857951208,-0.580514499935506,13.9725332343018,5.61047543531632e-44,9.97480193783295e-41
"APOC1","APOC1","341",3.66801982862876,-0.17448142777264,13.8747044559175,2.11237586550416e-43,3.38001262239321e-40
"FBP1","FBP1","2203",2.57910965150306,-0.855117457618432,13.7051468768877,2.05975209456228e-42,2.99619029682646e-39
"C1QC","C1QC","714",2.67121470387605,-0.864208893041246,13.6103583015283,7.27452907086714e-42,9.69997830524542e-39
"C20orf85","C20orf85","128602",1.46829238061111,-1.1380676633145,13.3262377048219,3.04207286163123e-40,3.74432368145856e-37
"TMEM190","TMEM190","147744",1.49272561975012,-1.15774889848809,13.0310556116015,1.36115399999634e-38,1.5557017967101e-35
"RETN","RETN","56729",1.92736234582286,-1.22795073579701,12.9534673782336,3.64818975137248e-38,3.89164561411407e-35
"FABP4","FABP4","2167",3.36070031064557,-0.390011198206223,12.9444468998299,4.08979942598834e-38,4.09005503845247e-35
"SERPINA1","SERPINA1","5265",2.61889651172505,-0.614945765576095,12.8902793830191,8.10991543433878e-38,7.63333863910911e-35
"LGALS3BP","LGALS3BP","3959",1.94988108904457,-1.12472263547245,12.751602967205,4.62247139743745e-37,4.10912026835537e-34
"MSR1","MSR1","4481",1.82884790173134,-1.1869668932819,12.5651089471288,4.66989801373957e-36,3.93279147988668e-33
"MS4A7","MS4A7","58475",2.36057792835233,-0.519658646773263,12.2634891118465,1.83846099933809e-34,1.47086072252044e-31
"CYP27A1","CYP27A1","1593",1.68311625943798,-1.28940227831519,12.1856777964311,4.67811666282848e-34,3.56450212961516e-31
"TCF7L2","TCF7L2","6934",1.45294816600253,-1.34086831914849,11.7487071807888,7.99575621203878e-32,5.81545887040148e-29
"FCGR3A","FCGR3A","2214",1.97295730921732,-1.03969026645642,11.5891687286326,4.99967893215048e-31,3.4782548953626e-28
"FCER1G","FCER1G","2207",2.37931845370023,0.178534319509726,11.5447019342583,8.29853768406159e-31,5.53270422844457e-28
"CAPS","CAPS","828",1.56982626542191,-1.03336963534933,11.5266831386708,1.01846726749762e-30,6.51859789889175e-28
"MRC1","MRC1","4360",2.29380918945862,-0.710618450420994,11.3909907660014,4.71580707377688e-30,2.90221649951938e-27
"PPARG","PPARG","5468",1.33016655104394,-1.35827752175936,11.3540586019478,7.13563580017677e-30,4.22878920143069e-27
"GPNMB","GPNMB","10457",1.82840072049515,-1.1827823213808,11.3125891352861,1.13436237131835e-29,6.48247582266606e-27
"ALDH2","ALDH2","217",2.3264086073428,-0.186817573656745,11.2130569174078,3.42854578149766e-29,1.83886437084012e-26
"LPL","LPL","4023",1.32185715977049,-1.3705532526593,11.2125546488146,3.44765521687417e-29,1.83886437084012e-26
"CD68","CD68","968",2.2289366698845,-0.555339990506994,11.0650715372608,1.74544283702964e-28,9.00930026945524e-26
"SLC11A1","SLC11A1","6556",1.89903218937688,-1.10032076138751,11.0396456308524,2.30383088706284e-28,1.15198743824664e-25
"MS4A4A","MS4A4A","51338",1.54720626307163,-1.23765219605766,10.9941364371639,3.7805704620368e-28,1.83311842312275e-25
"RSPH1","RSPH1","89765",1.30734642885703,-1.17616097707083,10.8786312209702,1.31747897202043e-27,6.20028853861731e-25
"C9orf24","C9orf24","84688",1.29808649567669,-1.16603678265033,10.7572499599244,4.82704539504653e-27,2.20678723903256e-24
"GRN","GRN","2896",2.56980893597197,0.307805590284875,10.6153734870886,2.16399613299092e-26,9.61836170110772e-24
"INHBA","INHBA","3624",1.88551543098121,-1.23870832787565,10.3940616798337,2.16420595541929e-25,9.35931337639568e-23
"TYROBP","TYROBP","7305",2.21880387821053,0.468643494679234,10.3382675618378,3.83943946334983e-25,1.61670712771212e-22
"LYZ","LYZ","4069",2.96393615364911,1.30384572445746,10.09683979214,4.43563248611351e-24,1.81986039513596e-21
"SCD","SCD","6319",1.65842025663344,-1.24139317968246,10.0731478823027,5.62286704514803e-24,2.24928738973534e-21
"OLR1","OLR1","4973",1.77634885386407,-0.962149289408014,9.86307169078904,4.50031422610735e-23,1.7563299495596e-20
"DNAAF1","DNAAF1","123872",1.20308421538921,-1.25028011528783,9.83357998874231,6.00628937375777e-23,2.28825324451186e-20
