Pathway,NGenes,Direction,PValue,FDR
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,9.903863948550234e-103,6.675204301322858e-100
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE,13,Down,1.4784414727360612e-87,4.982347763120526e-85
REACTOME_PD1_SIGNALING,17,Down,6.570177863228497e-75,1.4760999599386687e-72
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,25,Down,4.01930267056304e-49,6.772524999898722e-47
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_,77,Down,9.279739829599997e-36,1.2509089290300797e-33
REACTOME_DOWNSTREAM_TCR_SIGNALING,32,Down,1.5823357298111807e-31,1.777490469821226e-29
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,13,Down,2.3385214719957918e-31,2.2516621030359482e-29
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Down,8.45906524127805e-31,7.126762465776757e-29
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Down,1.1923663129828913e-30,8.929498832782986e-29
REACTOME_TCR_SIGNALING,48,Down,1.2079876733479266e-29,8.141836918365025e-28
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,61,Down,5.735742339617906e-23,3.514445760820426e-21
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,110,Down,1.3325824181956189e-22,7.484671248865392e-21
REACTOME_TRANSLATION,59,Down,4.1325759277679856e-22,2.1425816733197095e-20
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,62,Down,2.3131361034281288e-21,1.1136098097932565e-19
REACTOME_MRNA_SPLICING,102,Down,1.1851731097920326e-17,5.325377839998866e-16
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,21,Down,3.481110119384387e-15,1.380157776744163e-13
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION,21,Down,3.481110119384387e-15,1.380157776744163e-13
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,68,Down,2.9288819055434646e-12,1.0967035579646084e-10
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,130,Down,5.538063364872111e-12,1.931427962503396e-10
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Down,5.731240244817198e-12,1.931427962503396e-10
