"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"MSMO1","MSMO1","6307",2.45386115589289,-0.390475749038828,43.9439436387022,0,0
"LDLR","LDLR","3949",1.50498729438345,-0.825529088658002,33.6197083308241,1.09108293411905e-243,8.4984449738533e-240
"SQLE","SQLE","6713",1.50522075248874,-0.803703440715927,33.1267540511932,8.70101819330712e-237,4.51814871384461e-233
"INSIG1","INSIG1","3638",1.69572852828763,-0.60792519960588,29.516358474152,3.7969099489001e-189,1.47870657959914e-185
"ACAT2","ACAT2","39",1.58001840215433,-0.568209815418485,27.557052805972,1.84013246030471e-165,5.73311669332535e-162
"IDI1","IDI1","3422",1.65592154641765,-0.234148364524487,23.7826235893412,3.31226249624738e-124,8.59973752775696e-121
"DHCR7","DHCR7","1717",1.08938661839327,-0.886436217344795,23.5507611399697,7.32650214085011e-122,1.63046071928804e-118
"FADS1","FADS1","3992",1.35897127374891,-0.654651631804794,21.8083006964545,5.99722972823425e-105,1.16781055883041e-101
"DHCR24","DHCR24","1718",1.42265027174669,-0.46712379378867,20.7425680118139,3.19019525170715e-95,5.52187351456599e-92
"FDFT1","FDFT1","2222",1.639872932934,0.856848676406027,20.2892508991546,3.14656204170414e-91,4.90171434856671e-88
"CYP51A1","CYP51A1","1595",1.2418807017925,-0.692853480079636,19.5363406130954,8.75786646026184e-85,1.24027312470872e-81
"FDPS","FDPS","2224",1.46078534610621,0.29484174659111,17.3961347572252,9.27800845713088e-68,1.20444013120987e-64
"ERG28","ERG28","11161",1.16592801876662,-0.601979552532511,16.6881643739502,1.50027041600831e-62,1.79778558004442e-59
"HMGCS1","HMGCS1","3157",1.10562516322832,-0.663667023050351,15.4350429777945,7.55012765070368e-54,8.40113489590442e-51
"INHBA","INHBA","3624",1.6382569539636,2.45346231738402,15.4204402473864,9.45039231102689e-54,9.81454742807846e-51
"TUBA1A","TUBA1A","7846",1.54618606322246,1.35024007119554,15.3293558689228,3.81542751791244e-53,3.7147956171275e-50
"HMGCR","HMGCR","3156",1.12060667511362,-0.564716701953313,14.3823199211801,4.73582697422897e-47,4.33968897673758e-44
"PCOLCE2","PCOLCE2","26577",1.399245425353,1.61606289819078,14.0813950748802,3.40600004312576e-45,2.94770381510073e-42
"MVD","MVD","4597",0.893690745959996,-0.685727651056448,9.56586997728607,5.96213588008017e-22,4.64390763699444e-19
"MCEMP1","MCEMP1","199675",0.999315731111087,4.24858961128123,9.01393204282377,1.04995573034722e-19,7.78867160349952e-17
"AQP3","AQP3","360",1.04223819831524,1.69647372592185,7.84914044520406,2.16204926939171e-15,1.53092743266291e-12
"MRC1","MRC1","4360",0.852121159542336,4.1155162318924,5.87412622256886,2.14719901305163e-09,1.45430722718775e-06
"SC5D","SC5D","6309",0.804208379300192,-0.528316308282502,5.83843331600204,2.66108806888686e-09,1.72726791404664e-06
"HBEGF","HBEGF","1839",0.927973913321819,0.896591686629941,5.51045323565595,1.80385955010753e-08,1.12402096286301e-05
"MMAB","MMAB","326625",0.784407991245565,-0.504224512080251,5.28804154249214,6.22374624938709e-08,3.72898150280585e-05
"SLC25A1","SLC25A1","6576",0.843065511839534,0.111322611113712,5.23480654988623,8.31196385991811e-08,4.79569529665942e-05
"SREBF2","SREBF2","6721",0.770994472149217,-0.584532749252847,5.10452081271654,1.66801699744421e-07,9.28013170935212e-05
"ALOX5AP","ALOX5AP","241",0.797392054502304,4.71029140654792,5.01795727702589,2.62570462305114e-07,1.41045609027209e-04
"RGCC","RGCC","28984",0.858701714943778,2.90864002704727,4.76911254100751,9.29422969845619e-07,4.82618367475168e-04
"STARD4","STARD4","134429",0.73486915585663,-0.704051603259166,4.65515225070563,1.62544483080011e-06,8.16812244329166e-04
"PARAL1","PARAL1","101929371",0.7879863201433,1.16655246719874,3.99324790263716,3.26627303099219e-05,0.0154187882656959
"TCF7L2","TCF7L2","6934",0.778700039565371,1.82154913825935,3.89704933799835,4.87888168738089e-05,0.0223538879194175
"LILRA5","LILRA5","353514",0.757870865687497,-0.315986005138564,3.88045641475821,5.22387566701209e-05,0.0232507243259184
