"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"KLRF1","KLRF1","51348",1.09789879911699,-1.14329889426215,20.7160295674153,1.21593523694331e-92,1.94561797263299e-88
"TYROBP","TYROBP","7305",2.27646294514996,-0.60297255601783,18.9153115611303,5.31482341981471e-78,4.25212447702276e-74
"NKG7","NKG7","4818",2.95832490890158,0.3278279726089,18.5498937633781,3.56879787281962e-75,1.90347782543289e-71
"FCER1G","FCER1G","2207",2.07914883533363,-0.649434323652558,17.5526332111698,1.03780501943388e-67,4.15147952899039e-64
"CCL3","CCL3","6348",1.9870222895977,-0.89776490868939,16.4841333551731,3.96963585578999e-60,1.27036286656991e-56
"TRDC","TRDC","28526",2.02678864114247,-0.587568407589965,13.924885261374,9.50809963209115e-44,2.53565170355151e-40
"CCL4","CCL4","6351",2.47035140002183,-0.03600890213,13.4413201616102,6.09729025230196e-41,1.39375344752977e-37
"KLRD1","KLRD1","3824",1.77761216007907,-0.210638821181968,10.7873784683262,3.35094506174443e-27,5.36184719329725e-24
"XCL2","XCL2","6846",1.58485098746667,-0.68517820506195,10.6750731782116,1.10599042362482e-26,1.60881388803825e-23
"KLRC1","KLRC1","3821",1.51816004884915,-0.621286118147554,10.1920528198768,1.64214492550396e-24,2.18966341274908e-21
"CLIC3","CLIC3","9022",1.18200835072976,-0.943537457304463,9.18424305191503,2.74338987515655e-20,3.32096026147615e-17
"GNLY","GNLY","10578",2.01999143848086,-0.323152853084456,9.17797457920082,2.90565862512756e-20,3.32096026147615e-17
"GZMA","GZMA","3001",1.84975900169484,0.374611933260468,9.0442270962318,9.81468354190575e-20,1.04696500902689e-16
"CST7","CST7","8530",1.49633823038665,0.0190584588071029,8.11643026747198,2.85264429361342e-16,2.85282258388177e-13
"CCL5","CCL5","6352",1.85003798250498,1.98655659785234,7.84669971159164,2.48406214793169e-15,2.338086966415e-12
"CEBPD","CEBPD","1052",1.07529654851237,-0.953962441641197,7.74086285955102,5.697836137315e-15,5.06505977962097e-12
"IL2RB","IL2RB","3560",1.31650037820988,-0.459311152889817,7.52862606440616,2.91535350116533e-14,2.45518796695508e-11
"PRF1","PRF1","5551",1.24073063586317,-0.646720167230131,7.45968270331528,4.90870235827192e-14,3.92720732173545e-11
"XCL1","XCL1","6375",1.21695357375578,-0.74549556229247,6.9302230612476,2.30539074684197e-12,1.67675260637356e-09
"KLRB1","KLRB1","3820",1.49931021620003,0.0835012004780519,6.07969703658699,6.36552986717555e-10,4.42847145237722e-07
"CTSW","CTSW","1521",1.20526852797202,-0.188410759811182,5.92232927035002,1.66897845925313e-09,1.11272184693789e-06
"CMC1","CMC1","152100",1.01696157972892,-0.823224125316377,5.56039155335911,1.39993425263423e-08,8.61551845246164e-06
"APOBEC3G","APOBEC3G","60489",1.20196209720254,-0.0130076306333579,5.39988616874041,3.45352656828787e-08,1.97356709354194e-05
"CD247","CD247","919",1.14176996402366,-0.134019131197488,5.10922429651788,1.66402582390345e-07,9.18140593388934e-05
"HOPX","HOPX","84525",1.15647841810249,-0.209619888071438,5.03940917279759,2.39861180518509e-07,1.27933958315889e-04
"GZMK","GZMK","3003",1.04443655713684,-0.566456600968762,4.54961674692866,2.73652425287114e-06,0.00136834764281847
"CD63","CD63","967",1.03112928945809,0.341741563793466,3.7778773497381,7.97994402695736e-05,0.0375550248162779
"LAT2","LAT2","7462",0.768878124347223,-1.02375348865564,3.67916886459079,1.1795368744681e-04,0.0539250557953258
"MATK","MATK","4145",0.899632042862035,-0.546139700862388,3.50068146856228,2.33608452634896e-04,0.103832468072527
"GSTP1","GSTP1","2950",0.95113497976425,-0.224836373908323,3.41300614994077,3.23234019268273e-04,0.139785609251666
"FOS","FOS","2353",1.06873911390205,0.789951710848197,3.21135451446338,6.63804675367321e-04,0.279514173961908
"CD7","CD7","924",0.896448474646434,0.311840520521384,2.57206449173911,0.00506582266595207,1
"GZMB","GZMB","3002",0.779733478861977,-0.722567687631075,1.96697408687419,0.024614556968225,1
"CD81","CD81","975",0.785725039656401,0.10185261944309,1.77693092306132,0.0378134255117516,1
