"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"ISG15","ISG15","9636",3.02054888831524,-1.82904026805777e-04,23.8755080902129,4.35251043929165e-121,6.96445195391057e-117
"IFI6","IFI6","2537",2.0742056063086,-0.575423979873199,18.8774623932484,1.04854180485998e-77,8.38885870978224e-74
"MX1","MX1","4599",1.77804751968682,-0.744374302368024,17.6980752731145,8.92706546270762e-69,4.76139914895949e-65
"IFI44L","IFI44L","10964",1.61393113358742,-0.891607074140661,17.2495946457498,1.62350356420166e-65,6.49442013269768e-62
"IFIT1","IFIT1","3434",1.15907678237931,-1.08197415963163,16.7554970978722,5.17577012986588e-62,1.65634995695968e-58
"HERC5","HERC5","51191",1.14522700225918,-1.03953031001835,13.845318836666,2.79464085003148e-43,7.45284137355895e-40
"OAS1","OAS1","4938",1.18491741779104,-1.00664102446332,13.7937827143586,5.60107220685715e-43,1.2803250911703e-39
"XAF1","XAF1","54739",1.54647708899292,-0.577737667006712,12.359854081878,5.32403668547839e-35,1.06487388755425e-31
"ISG20","ISG20","3669",1.68188882126684,-0.217974158070909,12.2327253760479,2.47669947289512e-34,4.40329647397719e-31
"LY6E","LY6E","4061",1.78701077924991,0.223287815815765,12.1973921648866,3.78683057510663e-34,6.05930760322813e-31
"EIF2AK2","EIF2AK2","5610",1.34440965549743,-0.678513555914889,10.7576540151944,4.60176554196873e-27,6.69389549427651e-24
"SAMD9L","SAMD9L","219285",1.27695469446272,-0.684135286217122,9.90498740497959,2.88926224494304e-23,3.8525904317778e-20
"MX2","MX2","4600",0.992817354785933,-1.00583379681443,9.13567733403537,4.27780808987048e-20,5.26532363430904e-17
"IFIT3","IFIT3","3437",0.897219325024434,-1.07656313674605,8.71096832234071,1.89196756937481e-18,2.16238379125473e-15
"RSAD2","RSAD2","91543",0.88903096581422,-1.07708325291922,8.65576509383673,3.05732034886334e-18,3.26134552681082e-15
"STAT1","STAT1","6772",1.15740334193872,-0.655399938591302,7.64449153577497,1.20215873693798e-14,1.20223387185904e-11
"RNF213","RNF213","57674",1.17766228556505,0.252042808027926,6.01845230528404,9.28920942292311e-10,8.74333176330546e-07
"TNFSF10","TNFSF10","8743",1.023054914432,-0.666897574040592,5.85045264287414,2.57169181421848e-09,2.28609115107277e-06
"EPSTI1","EPSTI1","94240",0.93306271124887,-0.814820205156154,5.72332513139814,5.4582676798992e-09,4.59672321821406e-06
"SAMD9","SAMD9","54809",0.932425531494241,-0.724253014434234,5.07409901093655,2.00128157083632e-07,1.60112532074759e-04
"IFI44","IFI44","10561",0.809407983505469,-0.953580072548091,4.4710816677573,3.95805564802254e-06,0.0030158499249528
"TRIM22","TRIM22","10346",0.892709824940835,-0.677125173946921,4.32420044715452,7.76987910976614e-06,0.00565117434706218
"PLSCR1","PLSCR1","5359",0.820841982074099,-0.906640708334924,4.27796237439226,9.56724073187104e-06,0.00665588778046385
"IFI16","IFI16","3428",0.958850792654721,-0.26728420159538,4.23677616743027,1.14959009136221e-05,0.0076644129382861
"BST2","BST2","684",0.938873121120554,-0.287990961647052,4.05974093430008,2.48549814631904e-05,0.0159081823357004
"SP110","SP110","3431",0.897204623822899,-0.524511445278469,3.97088971721732,3.61927753239718e-05,0.0222738691522644
"TYMP","TYMP","1890",0.886012795582289,-0.395008024307435,3.57226511419117,1.78247782617009e-04,0.105634917394621
"IFI35","IFI35","3430",0.786360179355763,-0.869953866143843,3.50819271850418,2.27122964349553e-04,0.129792662591329
"PARP14","PARP14","54625",0.811325005607705,-0.630286358757322,3.04279155110178,0.00117670273596191,0.649255878556085
"DRAP1","DRAP1","10589",0.864870930199791,0.0884177315406307,3.01787429597911,0.00127775639719003,0.681512670381257
"SP100","SP100","6672",0.848003892674628,-0.214289161262557,2.973309922838,0.00147849716089091,0.763143002303724
"DDX60","DDX60","55601",0.715546767361671,-0.971342783615264,2.70531873065723,0.00342093377284367,1
"TAP1","TAP1","6890",0.755411985084842,-0.415345490356132,2.1175430835165,0.0171260233125463,1
"ALOX5AP","ALOX5AP","241",0.782476275019429,0.229456041984255,1.96206654340564,0.0248988947664372,1
"PPM1K","PPM1K","152926",0.710431358037846,-0.740817797200103,1.84093163747146,0.0328388009982249,1
"OAS3","OAS3","4940",0.648729802163244,-1.06479731183501,1.74626351341667,0.0404064530187486,1
"HELZ2","HELZ2","85441",0.662698076836839,-0.995939791831867,1.71295925499414,0.0433841117629921,1
"CMPK2","CMPK2","129607",0.629829352528586,-1.10886357730832,1.59875694359913,0.0549618661955251,1
"IRF7","IRF7","3665",0.685930589188428,-0.805001036631001,1.59711434927098,0.0551446694897504,1
"ANXA1","ANXA1","301",0.762798691333159,0.85451317869096,1.58010532946289,0.0570659568731594,1
"CD48","CD48","962",0.729163715844677,0.961560427002517,1.45650414230042,0.0726510561295108,1
"PSMB8","PSMB8","5696",0.711155310494306,-0.0951992313014282,1.40519469116393,0.0800058415275809,1
"SLFN5","SLFN5","162394",0.714275639873386,-0.0816430130702805,1.35786179973996,0.087277583881111,1
"MYL12A","MYL12A","10627",0.704214298055715,1.9042058758339,1.33914385362204,0.0902855812509317,1
"UBE2L6","UBE2L6","9246",0.676220250875422,-0.634997219724554,1.27630476290385,0.10094694228677,1
"OASL","OASL","8638",0.642103930500632,-0.877723451512467,1.0069780349045,0.156991602968052,1
"DDX58","DDX58","23586",0.62349014994754,-1.02981150311521,0.943909045786983,0.172625789631272,1
"PARP9","PARP9","83666",0.630693381931739,-0.903053648823952,0.831665597351275,0.202814297542978,1
"PNPT1","PNPT1","87178",0.616828748308782,-1.01991338370037,0.750365879517415,0.226530909844499,1
"TMSB10","TMSB10","9168",0.644341586557387,2.96797538636469,0.682307189022017,0.247534648001762,1
"ADAR","ADAR","103",0.619845657376583,-0.430971345906012,0.433159557620572,0.332456690389774,1
"C19orf66","C19orf66",NA,0.60745527301547,-0.716129630244036,0.327616951805746,0.37160598229459,1
"DDX60L","DDX60L","91351",0.600052845121913,-0.972505705146034,0.31127974660587,0.37779902488267,1
"NT5C3A","NT5C3A","51251",0.589318439143001,-0.914833964468104,0.0819644274447983,0.467338775564753,1
"GBP1","GBP1","2633",0.580111534408951,-0.817949167030387,0,0.530028271046311,1
"LTB","LTB","4050",0.572133173697706,1.0351876887321,0,0.538368626450896,1
"OAS2","OAS2","4939",0.575228653510203,-0.926546043067792,0,0.572717922131307,1
"PSME2","PSME2","5721",0.564525551810571,0.0542306582183126,0,0.585770776561713,1
"USP18","USP18","11274",0.576891858533644,-1.0891146973968,0,0.599236551345265,1
"CD2","CD2","914",0.548684748936322,1.0998384268553,0,0.637213073412764,1
"PSMB9","PSMB9","5698",0.52606643927127,0.235408492504252,0,0.732297215584374,1
"IFITM2","IFITM2","10581",0.499965509186707,0.365186948968198,0,0.795378046133386,1
"CHST12","CHST12","55501",0.524871202656541,-0.637397503986885,0,0.801124833369818,1
"SMCHD1","SMCHD1","23347",0.505143866793421,-0.284052139042333,0,0.818092139726093,1
"SAMHD1","SAMHD1","25939",0.505076089373522,-0.423248333060278,0,0.827477432732841,1
"MT2A","MT2A","4502",0.502162610353516,-0.702977942518272,0,0.866310008574465,1
"CD69","CD69","969",0.46307163942918,0.40738639955444,0,0.867549047722581,1
"CHMP5","CHMP5","51510",0.499562230068395,-0.705759916193301,0,0.894238850201782,1
"PHF11","PHF11","51131",0.503728113807708,-0.791417199240512,0,0.899570268278616,1
"TRAC","TRAC","28755",0.441089577371573,1.39688468443657,0,0.913257648420408,1
"CLEC2D","CLEC2D","29121",0.444658345249366,-0.0183551689743066,0,0.930542264203732,1
"UBALD2","UBALD2","283991",0.446468960716483,-0.29903529257766,0,0.940090585118953,1
"ITGB1","ITGB1","3688",0.421201252850926,-0.126199702170864,0,0.953075725577967,1
"PIM1","PIM1","5292",0.42740764889943,-0.2446645603661,0,0.954940990459323,1
"LAP3","LAP3","51056",0.493268785878733,-0.914548195356277,0,0.958012690779537,1
"IFITM1","IFITM1","8519",0.48037994629766,-0.870545395886828,0,0.961865268065503,1
"SYNE2","SYNE2","23224",0.403809790912116,0.0953129579253662,0,0.96431374313671,1
"RBCK1","RBCK1","10616",0.45184841079459,-0.61782770007456,0,0.964393094353015,1
"GNG5","GNG5","2787",0.421048795235003,-0.11945008021357,0,0.966702113170211,1
"TMEM123","TMEM123","114908",0.432819391219308,-0.441967689961623,0,0.968699498633841,1
"PSME1","PSME1","5720",0.399994333865288,0.469307752865605,0,0.971575616442949,1
"COTL1","COTL1","23406",0.390225190510182,0.431437583309006,0,0.971620085748672,1
"CD164","CD164","8763",0.425179016531621,-0.375174434030797,0,0.972592413252271,1
"EVL","EVL","51466",0.39672376848143,0.835611890348994,0,0.973796815261856,1
"SPATS2L","SPATS2L","26010",0.481187620653132,-0.944843078009657,0,0.97805452175986,1
"DTX3L","DTX3L","151636",0.481782376017486,-0.966489308475494,0,0.981456976396366,1
"ACTR2","ACTR2","10097",0.390385792185329,-0.151645830797301,0,0.984385313177706,1
"S100A11","S100A11","6282",0.365344086346333,1.33126620783515,0,0.984690590545025,1
"EMP3","EMP3","2014",0.359803172134167,0.826289147075769,0,0.984837113342064,1
"PAG1","PAG1","55824",0.406331488337575,-0.501095330235447,0,0.985786091410452,1
"ODF2L","ODF2L","57489",0.414249328113199,-0.562995717205926,0,0.98601305272328,1
"PTMS","PTMS","5763",0.403103290138853,-0.576808385700895,0,0.988853660727573,1
"MYL12B","MYL12B","103910",0.374562312605375,1.13690799701078,0,0.988901199488807,1
"FYB1","FYB1","2533",0.347378172735084,0.553481953231733,0,0.989228701338518,1
"GZMA","GZMA","3001",0.316472806407597,0.374611933260468,0,0.989552615896302,1
"HLA-E","HLA-E","3133",0.377566101268971,1.77401474157876,0,0.99036259784695,1
"APOL6","APOL6","80830",0.407545811398296,-0.629703170123009,0,0.991400030265173,1
"GIMAP7","GIMAP7","168537",0.342623748559135,0.136401845947755,0,0.992735484962743,1
"IL32","IL32","9235",0.314978133662394,2.1529865205742,0,0.993063870211603,1
"LGALS9","LGALS9","3965",0.489230774291914,-1.04686617148866,0,0.993417304578376,1
