Pathway,NGenes,Direction,PValue,FDR
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,8,Down,2.717367004735494e-303,1.831505361191723e-300
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,20,Down,9.255581754061331e-107,3.119131051118669e-104
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,8,Down,3.9844307631831924e-58,8.951687781284906e-56
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,60,Down,1.5409540428110214e-48,2.596507562136571e-46
REACTOME_ER_PHAGOSOME_PATHWAY,55,Down,3.7299882409511116e-32,5.0280241488020985e-30
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,19,Down,1.2072060758180723e-27,1.356094825168968e-25
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Down,2.2539127805063407e-26,2.1701960200875338e-24
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,68,Down,3.1185479499194567e-24,2.6273766478071425e-22
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS,26,Down,3.5713579159149597e-23,2.674550261474092e-21
REACTOME_AMYLOIDS,15,Up,4.57441782547252e-16,3.083157614368479e-14
REACTOME_INTERFERON_GAMMA_SIGNALING,58,Down,5.548828567033524e-10,3.399918594709632e-8
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,29,Down,1.561547886112919e-9,8.770693960334228e-8
REACTOME_IRON_UPTAKE_AND_TRANSPORT,33,Up,1.984838377222257e-9,1.0290623586521548e-7
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,84,Up,2.2080356727200176e-8,1.063011459580923e-6
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,46,Up,9.664955567585897e-7,4.34278670170193e-5
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS,15,Down,1.7021784056693791e-6,7.17042653388226e-5
REACTOME_SIGNALING_BY_ROBO_RECEPTOR,27,Down,2.0779009303711447e-6,8.238266041589127e-5
REACTOME_TCR_SIGNALING,48,Down,3.5462836828634816e-6,1.3278862234722148e-4
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,53,Up,7.3937746440903235e-6,2.622844268482567e-4
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS,8,Down,1.979270380937322e-5,6.670141183758776e-4
