"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"IFI27","IFI27","3429",5.21739472096344,0.853767382932156,142.846611822806,0,0
"INHBA","INHBA","3624",0.966707878266138,2.50530414504215,12.6212302596734,9.78352105512176e-37,7.62038454983434e-33
"MCEMP1","MCEMP1","199675",0.821351581661345,4.28496133601771,11.6119827740323,2.05786434886308e-31,1.0685803608863e-27
"FABP4","FABP4","2167",0.842667630212195,5.88467426113454,9.73047717843594,1.19748922893904e-22,4.66362180210311e-19
"AQP3","AQP3","360",0.813740225309766,1.7351259328611,8.96372620960006,1.6496522553846e-19,5.13965656687626e-16
"GPD1","GPD1","2819",0.753487479060801,1.31535247445513,6.8653822987575,3.37405127103577e-12,8.76016178336588e-09
"PCOLCE2","PCOLCE2","26577",0.732041503749151,1.652786728316,5.76485772594197,4.12255876550939e-09,8.02765255613815e-06
"HP","HP","3240",0.71386835669765,2.46339482662041,4.06940695004178,2.36210695472123e-05,0.0408854468229414
"C1QA","C1QA","712",0.658291843105616,6.40413527947615,3.59208985877257,1.64255732565321e-04,0.255877580190257
"PNPLA6","PNPLA6","10908",0.645259084667338,2.73781874867682,3.13940303095022,8.47205388175353e-04,1
"C1QB","C1QB","713",0.621769440217453,5.91472183652035,1.52518833077739,0.0636108383760933,1
"EVL","EVL","51466",0.614701968174288,2.43940377913825,1.3949990550519,0.0815127385642202,1
"CD52","CD52","1043",0.607061520063422,5.33148305463248,1.19804077828406,0.11545485676853,1
"ITIH5","ITIH5","80760",0.599059586300226,0.847631327073819,0.551814213499656,0.290539685219021,1
"FBP1","FBP1","2203",0.592193505394584,4.63727956953287,0.3758721629912,0.353507171579363,1
"LPL","LPL","4023",0.594593987274215,2.13007407027762,0.370503095006772,0.355505019898641,1
"MRC1","MRC1","4360",0.588531830103363,4.15338429614502,0.179850108001191,0.428635672243138,1
"STXBP2","STXBP2","6813",0.565351590617594,3.70419058435558,0,0.794354764881029,1
"RHBDD2","RHBDD2","57414",0.555097796852205,1.40233925842057,0,0.912367277121648,1
"QSOX1","QSOX1","5768",0.555594905794488,2.30684401256022,0,0.914492301162831,1
"GLDN","GLDN","342035",0.540357120609102,0.526043024986631,0,0.971408056998664,1
"VMO1","VMO1","284013",0.530917645312983,1.26682693871247,0,0.976830682828776,1
"TMEM273","TMEM273","170371",0.532537642709401,0.681941458456155,0,0.986962841357827,1
"SVIL","SVIL","6840",0.528553093567135,1.87850317751593,0,0.995698818772765,1
"CCND3","CCND3","896",0.525990490881217,1.65551676436903,0,0.996933445843871,1
"ALOX5AP","ALOX5AP","241",0.53293510915478,4.74965155119764,0,0.997201770045559,1
"SERPING1","SERPING1","710",0.51635836896048,2.95899394571388,0,0.997986191724651,1
"PDLIM1","PDLIM1","9124",0.526781797120525,2.76665002733544,0,0.998056121061246,1
"RETN","RETN","56729",0.492714644118645,3.28945287349087,0,0.998596449870379,1
"C1QC","C1QC","714",0.501460351502906,4.66188879934688,0,0.999776004398292,1
"IRS2","IRS2","8660",0.494379784051144,1.22099890386484,0,0.999854002400914,1
"CES1","CES1","1066",0.479498664712409,2.8036152467795,0,0.999902835222301,1
"THBS1","THBS1","7057",0.481831228411055,0.41880331969488,0,0.999954025549825,1
"PARAL1","PARAL1","101929371",0.497159360150733,1.19234387221458,0,0.999957293424797,1
"MME","MME","4311",0.478510997585403,1.19109061024095,0,0.999992823621062,1
"TCF7L2","TCF7L2","6934",0.490443183949871,1.86061845017312,0,0.999992935095085,1
