"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"CA2","CA2","760",1.62899750799695,-0.127870728029298,41.1400615683989,0,0
"GCHFR","GCHFR","2644",1.7774056433003,3.04014126822776,43.4193711810803,0,0
"GPD1","GPD1","2819",1.54407113155962,1.31535247445513,37.5757432764155,6.17515728096548e-303,3.20655333742934e-299
"APOC1","APOC1","341",1.17508753858652,6.80758714869197,30.6490997243798,9.49842827215052e-204,3.69916289058902e-200
"FDX1","FDX1","2230",1.32213145753742,1.16948959439579,28.7738463724481,3.74124523012673e-180,1.16562236389829e-176
"RBP4","RBP4","5950",1.54025881239677,1.49495927065819,27.8177193093396,1.14688409408295e-168,2.97769340293736e-165
"CD9","CD9","928",1.30420379839884,3.15736510267075,27.3856174933346,1.34713024835709e-163,2.99794214412953e-160
"CCL18","CCL18","6362",1.65372854675033,1.30842088748802,24.9804271564297,9.1734808151361e-137,1.58782760153545e-133
"SCD","SCD","6319",1.18858435424184,2.57530018475681,23.5195718350712,1.27285325764464e-121,1.98285080475883e-118
"RMDN3","RMDN3","55177",1.13611516457496,1.09487858153227,21.8091705344578,5.18822085344961e-105,7.3474640413671e-102
"CYP27A1","CYP27A1","1593",1.0316804271626,2.95303896369662,21.524340887862,2.30859711241845e-102,2.99694381810455e-99
"MSR1","MSR1","4481",1.07130916272307,3.07266944781635,21.0119954425108,1.10210146191714e-97,1.32065665951886e-94
"TGM2","TGM2","7052",1.15696777502291,1.61660526477688,18.8786405016508,2.22568808473787e-79,2.3114512656031e-76
"MME","MME","4311",1.0538760836331,1.19109061024095,18.3812196764703,2.19638635352982e-75,2.13845666345547e-72
"ADTRP","ADTRP","84830",0.995854167871843,0.252031276882338,18.1040432135183,3.32919248014429e-73,3.05071532092281e-70
"ABCG1","ABCG1","9619",0.991778504678635,2.47165406889402,17.565931198076,4.60901144489865e-69,3.9888433493684e-66
"CD52","CD52","1043",0.914532954310934,5.33148305463248,17.1824940905625,3.46855603962661e-66,2.84385084133176e-63
"LGALS3","LGALS3","3958",0.843113754167069,5.94598079600917,16.0417319966494,5.38934406387083e-58,3.9978667536657e-55
"CES1","CES1","1066",1.05400408060066,2.8036152467795,15.9393619012246,2.75263222985231e-57,1.94911385802906e-54
"TFRC","TFRC","7037",1.01643515099932,2.88145721791646,15.1236313951708,8.40830926560164e-52,5.48649116622431e-49
"AKR1C3","AKR1C3","8644",0.962994821215695,0.20464956709488,15.1232825240214,8.4526760809721e-52,5.48649116622431e-49
"PHLDA3","PHLDA3","23612",0.890860457620587,2.14592706750294,14.2118974226394,5.26798256294356e-46,3.28258529462139e-43
"SERPING1","SERPING1","710",0.935646862541788,2.95899394571388,14.139150533517,1.47568320053988e-45,8.84161265308084e-43
"NMB","NMB","4828",0.930122649610612,-0.080030150484834,13.9640937835077,1.72297676208845e-44,9.94093777770886e-42
"FABP4","FABP4","2167",0.968866116206054,5.88467426113454,13.9403158069398,2.40018969202492e-44,1.33536267937015e-41
"CSTB","CSTB","1476",0.794671169987867,5.04469599144481,13.8461147442252,8.87638474990273e-44,4.76814902186154e-41
"ACP5","ACP5","54",0.809165302557817,4.23422926648393,13.3267792619751,1.02785907367624e-40,5.16515762894465e-38
"NUPR1","NUPR1","26471",0.963215381424882,2.39280723362198,10.6306618956205,1.18322581618797e-26,5.58554295896247e-24
"CD63","CD63","967",0.729722611668241,5.25765403470768,9.39627611293296,3.00133670389391e-21,1.26364386954755e-18
"KLHDC8B","KLHDC8B","200942",0.79066189592731,-0.00779379931763417,9.19435002014836,1.99321158991413e-20,8.1711184599164e-18
"FAM89A","FAM89A","375061",0.761832646886293,2.04916066050281,8.34963757113611,3.55507672971402e-17,1.35075573891427e-14
"RETREG1","RETREG1","54463",0.760317670537437,-0.0639552299743685,8.03061391116161,5.00855759255029e-16,1.85769786135115e-13
"MACC1","MACC1","346389",0.783824175083211,0.388534271657866,7.92265082087905,1.19866392816997e-15,4.34250852861204e-13
"PLIN2","PLIN2","123",0.785922755914436,2.76018291795185,7.80235566033858,3.12701634649022e-15,1.1071059237642e-12
