"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"FABP4","FABP4","2167",2.11027582625777,5.88467426113454,57.4060990003146,0,0
"SCD","SCD","6319",1.97056777793719,2.57530018475681,55.9567582371247,0,0
"MT2A","MT2A","4502",1.94779100557835,1.03646602175047,41.2212626387601,0,0
"APOC1","APOC1","341",1.47180459915205,6.80758714869197,47.7384751520219,0,0
"FTL","FTL","2512",1.05819053923903,9.93347449903975,45.6838251396635,0,0
"NUPR1","NUPR1","26471",1.73331350147386,2.39280723362198,33.4503969430668,1.33137230111448e-241,1.72834314223011e-238
"GCHFR","GCHFR","2644",1.31735791791242,3.04014126822776,27.6401266180248,1.42029959738445e-166,1.47502847520366e-163
"RBP4","RBP4","5950",1.47482792818273,1.49495927065819,26.8569267549401,1.69681560307025e-157,1.65206209153927e-154
"ABCA1","ABCA1","19",1.11559272959437,-0.262497396598836,25.3961240458846,3.11617751086967e-141,2.85551842731339e-138
"PLTP","PLTP","5360",1.00867190787156,-0.569701530151794,23.6815067754777,2.94807265461575e-123,2.55139310075579e-120
"CD36","CD36","948",0.972688732274034,-0.630503200023258,22.4894697842189,1.79236609974975e-111,1.3295942429477e-108
"BLVRB","BLVRB","645",1.10223326733087,1.38225612598236,21.2166978234678,1.5343462396629e-99,1.03921937919429e-96
"KLHDC8B","KLHDC8B","200942",1.0393569499103,-0.00779379931763417,21.0508480554236,4.91174950634814e-98,3.1881347420788e-95
"PLIN2","PLIN2","123",1.0824055254029,2.76018291795185,20.017391168733,6.50182906589286e-89,4.05141972753916e-86
"CFD","CFD","1675",1.07308965777514,3.33521210124161,18.7846831202996,1.28791203787422e-78,7.71657451000178e-76
"AQP9","AQP9","366",0.985628414088641,-0.184437094198337,18.4550254978778,5.69660112013922e-76,3.16934472319746e-73
"NR1H3","NR1H3","10062",0.908487482726869,-0.149496801095018,15.1103414803164,1.02739651464495e-51,4.10379048849717e-49
"SERPING1","SERPING1","710",0.92374201531546,2.95899394571388,14.1570452745619,1.14593427106929e-45,4.35399123773596e-43
"AOC3","AOC3","8639",0.857082133683535,-0.0766594339501822,12.2143416666051,1.54401877665378e-34,5.34504988949169e-32
"TSPAN4","TSPAN4","7106",0.865052225556896,0.497659202088941,11.6061898996733,2.20149360760712e-31,7.14476404568827e-29
"FTH1","FTH1","2495",0.702795557916237,9.29003713252996,11.5966405253211,2.46029679988558e-31,7.82173541808521e-29
"KCNMA1","KCNMA1","3778",0.814217149779083,-0.174090692196255,11.1356650135617,4.73067210590683e-29,1.44498843266307e-26
"CTSL","CTSL","1514",0.83482354730364,2.82840022696058,10.99416687388,2.27942231920059e-28,6.82862324778976e-26
"SPARC","SPARC","6678",0.855082572100398,0.484568953290804,10.6174824677632,1.36206704736264e-26,3.722505344529e-24
"APOE","APOE","348",0.842576959472347,5.79011134211833,9.96084141323461,1.21953811047556e-23,3.27551115258418e-21
"GPNMB","GPNMB","10457",0.796589529772609,3.13256771929126,9.91482933894791,1.93266587264405e-23,5.10289304475406e-21
"SOD2","SOD2","6648",0.843844529866126,0.965060758479226,9.41132584584175,2.60217602977422e-21,6.6453603593152e-19
"PPDPF","PPDPF","79144",0.749215336031848,3.21897643469744,9.17352128685969,2.41756901170238e-20,5.88451407254682e-18
"FABP5","FABP5","2171",0.752337936419645,4.20771558331039,8.50604243032809,9.37078968079887e-18,2.11562553112297e-15
"HMOX1","HMOX1","3162",0.762144146072219,1.52114073012188,7.45275599766338,4.68194109490603e-14,9.99113402417071e-12
"CES1","CES1","1066",0.790661463286537,2.8036152467795,7.24503102607193,2.2088052959549e-13,4.64983363518721e-11
"C3","C3","718",0.67671406118974,-0.752145599625176,6.08546508074792,5.87130025066271e-10,1.17260404236954e-07
"ABCG1","ABCG1","9619",0.695249335382553,2.47165406889402,4.93566165894798,4.01334497787574e-07,7.71850469942571e-05
"LIPA","LIPA","3988",0.696196139691186,1.32244093663113,4.45615820193807,4.18573364732783e-06,7.76254270929439e-04
"CCL18","CCL18","6362",0.766614020958277,1.30842088748802,4.40052821626245,5.41623351078036e-06,9.92636301540429e-04
"JAML","JAML","120425",0.679530159415299,1.89448951005918,4.14583756888762,1.6970775453764e-05,0.00303874413814639
"MGST1","MGST1","4257",0.695812098054778,0.588134090874858,4.04730374511536,2.59642761788735e-05,0.00459626698084649
"GADD45B","GADD45B","4616",0.687308297830669,0.224826622011509,3.87119050767795,5.4256389249989e-05,0.00935835919418761
"FGR","FGR","2268",0.67655647248791,0.635598148702247,3.86934937271123,5.46675238587157e-05,0.00935835919418761
"CAMP","CAMP","820",0.681430117983085,0.0632073001105732,3.39908110626426,3.38461510842001e-04,0.0555005622725967
"CYP27A1","CYP27A1","1593",0.647805536202644,2.95303896369662,3.13835592647949,8.50237137757151e-04,0.136546331257535
"JPT1","JPT1","51155",0.633564467944715,2.84366338204324,2.5502413788906,0.00538464791359735,0.822372992137446
"CSTA","CSTA","1475",0.636467545891534,2.35962960578432,2.48487122163213,0.00648236446631857,0.980410423847676
"CYB5A","CYB5A","1528",0.636522279852421,1.4855465452132,2.33594247444995,0.00975008658876988,1
"RMDN3","RMDN3","55177",0.631816789312308,1.09487858153227,1.92160954265537,0.0273317381369003,1
"CLEC4E","CLEC4E","26253",0.615429072252661,-0.0569789439987769,1.315109027176,0.0942411830800954,1
"LGALS1","LGALS1","3956",0.606499413105276,4.68558527199342,1.25463463490878,0.104810138026056,1
"RBP7","RBP7","116362",0.608333654377064,-0.168877987134819,1.10986863522785,0.13353184711605,1
"ADA2","ADA2","51816",0.594018488873642,1.65565401202964,0.400991871183735,0.344214347492299,1
"PLBD1","PLBD1","79887",0.590967058313234,2.09526756578959,0.252092970453735,0.400485383617358,1
"DHRS3","DHRS3","9249",0.587090946203414,0.527851568835599,0.0934615305025787,0.462768737652537,1
"C1QB","C1QB","713",0.577505273052098,5.91472183652035,0,0.620960118131851,1
"FDX1","FDX1","2230",0.576580639555772,1.16948959439579,0,0.632729407627048,1
"FMNL2","FMNL2","114793",0.576602213247558,0.69134011562589,0,0.641470221223624,1
