"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"ISG15","ISG15","9636",2.7861851213808,2.6547796779511,43.3211579789537,0,0
"RSAD2","RSAD2","91543",1.9135140642888,-0.66272030319076,43.3659997482549,0,0
"IFIT2","IFIT2","3433",2.57238305363073,0.892313935929059,39.1810588481841,0,0
"IFIT1","IFIT1","3434",2.79159085289307,0.6833408497406,44.2075881979258,0,0
"MX1","MX1","4599",2.3316985071573,1.62343332528516,34.782327641608,1.10513492473158e-260,3.44315837149371e-257
"IFIT3","IFIT3","3437",2.21628397950462,1.82635804114938,34.5785721011626,1.01677472472572e-257,2.6398861102962e-254
"NT5C3A","NT5C3A","51251",1.95838414317963,0.244098205086629,31.634802723372,1.02845968253608e-216,2.28876356207816e-213
"NEXN","NEXN","91624",1.50620742785865,-0.624931077766517,30.7158852394174,1.29238951451165e-204,2.51660548213281e-201
"IFI44L","IFI44L","10964",2.11651795600074,0.605761498449237,29.9282244114377,1.63931194596156e-194,2.83746683268768e-191
"HERC5","HERC5","51191",1.83321089199861,0.411496086238171,26.644583359205,4.44404053679463e-155,6.92292634821867e-152
"CXCL10","CXCL10","3627",1.34382457078253,-0.889021216692554,26.4484694485157,7.32507601162909e-153,1.03736394644689e-149
"CMPK2","CMPK2","129607",1.60791789271881,-0.239160906045245,26.3340411441407,1.41635588291262e-151,1.8386659953344e-148
"DDX58","DDX58","23586",1.56102960497888,-0.257286969106236,25.1484765259283,1.46034207005087e-138,1.7499391359425e-135
"IFITM3","IFITM3","10410",1.84425647511879,1.36645054936377,23.5951609594392,2.20198672097011e-122,2.4501820813766e-119
"OAS2","OAS2","4939",1.63910860850465,0.69009574706887,22.7806076558278,2.68889500486365e-114,2.79250709238439e-111
"OAS3","OAS3","4940",1.50810414438883,0.141759456512722,21.2154049104671,1.5765312604214e-99,1.53495024842779e-96
"TNFSF10","TNFSF10","8743",1.5327449257088,0.34364898196122,19.7850566182801,6.34396738816689e-87,5.81331317487435e-84
"EPSTI1","EPSTI1","94240",1.47365956861672,0.762321994450604,19.0220275264607,1.50247887843279e-80,1.30031199823478e-77
"IFIH1","IFIH1","64135",1.38767949804131,0.0965693518438924,18.5910567994094,4.67086855317872e-77,3.82962054323253e-74
"IFI35","IFI35","3430",1.40209078076009,0.978502952870862,18.2113218646867,4.81032564701494e-74,3.74676264645993e-71
"OASL","OASL","8638",1.41839346724897,1.20827591236959,17.7520382575233,1.75841345732914e-70,1.30440784944159e-67
"SAMD9","SAMD9","54809",1.36532053142241,0.380961734128543,17.3096515302068,3.91812276723254e-67,2.77438711217948e-64
"IFI6","IFI6","2537",1.29253030625819,3.67424642342237,17.029237742816,4.70488955542118e-65,3.18664215192831e-62
"USP18","USP18","11274",1.10696118972565,-0.573508690422071,16.9344392553528,2.33374053718567e-64,1.5147920870116e-61
"SAMD9L","SAMD9L","219285",1.34882109474025,1.4863677490775,16.8796257432101,5.86774226802331e-64,3.65630756205069e-61
"ISG20","ISG20","3669",0.917367588740078,-0.91091516600515,16.8321938604487,1.29999972724452e-63,7.78899836577504e-61
"XAF1","XAF1","54739",1.3588205296188,1.50507928936489,16.5243084786765,2.15458386949043e-61,1.2431150932934e-58
"GBP1","GBP1","2633",1.41439355784777,1.14004107550013,16.4778859787933,4.61884587464787e-61,2.56972789411659e-58
"RNF213","RNF213","57674",1.25116860189099,2.1492994406969,16.1868976885921,5.24401307086259e-59,2.81693915923784e-56
"SP110","SP110","3431",1.32453138482634,1.10566988485642,15.9997817634204,1.05266417998502e-57,5.46613419860223e-55
"DDX60L","DDX60L","91351",1.33099754618131,0.86667325965681,15.9813999574176,1.41077707529905e-57,7.08938234806731e-55
"OAS1","OAS1","4938",1.30321607877461,1.20449804798403,15.8780994849882,7.26862555994521e-57,3.53845778040083e-54
"STAT1","STAT1","6772",1.34401725507331,1.1391812370749,15.7843522064191,3.18930512914369e-56,1.50554531217577e-53
"IFI44","IFI44","10561",1.27343286698021,0.247487271515587,15.6686890465277,1.95415717571603e-55,8.95348837744243e-53
"PARP9","PARP9","83666",1.28496500001298,0.949073326002641,15.4265361769172,8.33391883736487e-54,3.70930821852771e-51
"IRF7","IRF7","3665",1.27131369062416,0.500147107067445,14.9926188084422,6.01702886973608e-51,2.60370210368746e-48
"TNFSF13B","TNFSF13B","10673",1.25950846866774,1.52931295654212,14.9384684659075,1.3505582965124e-50,5.68621544407303e-48
"UBE2L6","UBE2L6","9246",1.20487097321863,1.55221073984717,14.3524192466782,7.09844351304619e-47,2.90998823805878e-44
"PARP14","PARP14","54625",1.26695249299944,1.5093853569213,14.3415986921504,8.28877228774343e-47,3.31083319739659e-44
"RABGAP1L","RABGAP1L","9910",1.15863052476657,-0.020507403917208,13.817384885545,1.32042762965123e-43,5.14240540367672e-41
"MX2","MX2","4600",1.15120996441027,-0.0133681216642902,13.1887902060672,6.40763046777888e-40,2.43458701041608e-37
"EIF2AK2","EIF2AK2","5610",1.16359095628607,1.24789451706456,12.4808137137499,5.71526925163152e-36,2.119820580998e-33
"GBP4","GBP4","115361",1.12246877684008,0.174895643401963,12.2958395184116,5.67564074094724e-35,2.05616584796456e-32
"GMPR","GMPR","2766",1.01629952835371,-0.397298803670418,12.2790178058108,6.98165872900481e-35,2.47182453819175e-32
"STAT2","STAT2","6773",1.13008561697894,0.635173327323954,11.7758876195718,3.00921788483883e-32,1.04172436022265e-29
"LY6E","LY6E","4061",0.979265319515623,4.20473994558309,11.7545411586585,3.87119156978003e-32,1.31098744073985e-29
"HELZ2","HELZ2","85441",0.957881652850565,-0.580527873961961,11.7515429455173,4.01045472210852e-32,1.32925241831929e-29
"SIGLEC1","SIGLEC1","6614",1.12153418250271,0.88072547445895,11.4289309274826,1.70762596445217e-30,5.54195776546582e-28
"MT2A","MT2A","4502",1.31365696588223,1.03646602175047,11.3064573577023,6.90680770865217e-30,2.19580103031395e-27
"TRIM22","TRIM22","10346",1.10133137540808,0.923447457371804,11.2496788277798,1.31359048979996e-29,4.09262253002074e-27
"PNPT1","PNPT1","87178",0.99558046147887,-0.306071241483554,10.9752672127774,2.80797309660739e-28,8.57698135273527e-26
"DYNLT1","DYNLT1","6993",1.02030917404059,1.75540750550503,10.6496253168317,9.66003465471678e-27,2.8939234586765e-24
"LAP3","LAP3","51056",1.03113327387107,1.97193559360788,10.378635697889,1.69521944084461e-25,4.98266574518441e-23
"PLSCR1","PLSCR1","5359",1.02632681681338,1.81506556827379,10.1314359657207,2.17241108340611e-24,6.26700367727786e-22
"NUPR1","NUPR1","26471",1.21302383836118,2.39280723362198,9.38490063771632,3.34269938335565e-21,9.4677401807117e-19
"DDX60","DDX60","55601",0.926462122346272,-0.0897272481260845,8.3445756006948,3.7103627877912e-17,1.03214341978949e-14
"ZNFX1","ZNFX1","57169",0.93926861238803,0.248381175693355,8.09488381783253,2.96312180154685e-16,8.09815989903453e-14
