"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"STMN1","STMN1","3925",3.61433359475503,2.2124260786458,47.5416619309624,0,0
"HMGN2","HMGN2","3151",2.80336347549907,3.11459498070379,48.311935910731,0,0
"CLSPN","CLSPN","63967",1.97206214230596,-0.931684850660451,74.0940067443097,0,0
"CDCA8","CDCA8","55143",1.77182266706266,-0.978911177110206,85.8364675469201,0,0
"CDC20","CDC20","991",2.57353119317053,-0.986497688500797,152.663283878565,0,0
"KIF2C","KIF2C","11004",2.37220677738515,-0.987116184531139,154.75516936825,0,0
"CDKN2C","CDKN2C","1031",2.69430567993766,-0.756676481512091,68.3889681497285,0,0
"DEPDC1","DEPDC1","55635",2.09417105549513,-1.00103526425942,150.038730008841,0,0
"GPSM2","GPSM2","29899",1.95630757413457,-0.889101610816763,58.708825197964,0,0
"PSRC1","PSRC1","84722",1.12874252870628,-0.988050092899349,40.1301718347297,0,0
"PHGDH","PHGDH","26227",2.13003415821264,-0.948868076513898,82.8455266501178,0,0
"CKS1B","CKS1B","1163",2.93860253617348,0.329711085502655,42.0994457615152,0,0
"IQGAP3","IQGAP3","128239",1.41710810872365,-0.971049757914237,52.4477534299108,0,0
"NUF2","NUF2","83540",2.56731871666299,-0.975046189501357,146.52709494731,0,0
"ASPM","ASPM","259266",3.59274608821146,-0.96596348345097,208.451134527797,0,0
"KIF14","KIF14","9928",1.97559666048722,-0.990890837621632,112.02420151595,0,0
"UBE2T","UBE2T","29089",2.24421211964204,-0.862207470989996,69.0896258663425,0,0
"NEK2","NEK2","4751",1.61570631976827,-1.01264513477505,120.337561287339,0,0
"CENPF","CENPF","1063",4.63546382644733,-0.786278010766754,133.378024895971,0,0
"RRM2","RRM2","6241",3.46139036868043,-0.964508120917708,169.497147633781,0,0
"CENPA","CENPA","1058",2.71079761044253,-0.981263183181576,180.870394675963,0,0
"NCAPH","NCAPH","23397",1.76546200644157,-1.00384925694059,130.025206558993,0,0
"BUB1","BUB1","699",1.99944693036119,-0.975840603164312,103.761882793639,0,0
"CKAP2L","CKAP2L","150468",2.60858782733289,-0.97684275241154,170.131426000626,0,0
"SPC25","SPC25","57405",1.98334431645663,-1.00530405314898,151.484883628964,0,0
"SGO2","SGO2","151246",2.51096505559168,-0.839146542372384,72.7615641289898,0,0
"BARD1","BARD1","580",2.04566093936675,-0.660235350323929,40.1703615755233,0,0
"HJURP","HJURP","55355",1.90753100497091,-1.00751156040958,155.529067958824,0,0
"DTYMK","DTYMK","1841",2.74770128509976,-0.229872477617776,45.4108559827432,0,0
"SGO1","SGO1","151648",1.85332929741785,-0.986853688950695,104.111593873603,0,0
"KIF15","KIF15","56992",2.08304070737651,-0.994390145239112,139.91327965026,0,0
"POC1A","POC1A","25886",2.00453822185196,-0.911893705677532,69.9110918367566,0,0
"SMC4","SMC4","10051",3.53296659267425,-0.43302310327129,66.6909888648493,0,0
"TRIM59","TRIM59","286827",1.34106375961209,-0.950877766891949,40.5130933548573,0,0
"TACC3","TACC3","10460",2.39211166340649,-0.430502657397541,41.2269958372994,0,0
"NCAPG","NCAPG","64151",2.55288917147214,-0.982284050377471,164.364916265702,0,0
"CENPE","CENPE","1062",2.84277966946138,-0.771679027726597,71.8420091883632,0,0
"MAD2L1","MAD2L1","4085",2.70119276122544,-0.888167346043252,100.573260762856,0,0
"CCNA2","CCNA2","890",2.36423295254803,-0.981798430531975,149.824850729135,0,0
