"","SYMBOL","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val"
"IGF1","IGF1","3479",3.71269774352897,0.06927780017495,96.1183091799949,0,0
"ITIH5","ITIH5","80760",1.47436784557439,0.847631327073819,28.5727324449613,1.04648258666002e-177,8.15105286749493e-174
"PCOLCE2","PCOLCE2","26577",1.22408238634766,1.652786728316,20.5593196850409,1.21688167867133e-93,4.7391456975855e-90
"HP","HP","3240",1.24646334403156,2.46339482662041,17.1386800191471,7.32653134595962e-66,2.28265410614718e-62
"INHBA","INHBA","3624",1.20728573393474,2.50530414504215,16.8862187421624,5.25261435634664e-64,1.3637537740528e-60
"C8B","C8B","732",1.08972172762807,0.255441267696505,16.5677563861539,1.05339054816905e-61,2.34424542276821e-58
"FABP4","FABP4","2167",1.05156245187362,5.88467426113454,14.4591997457827,1.52790316832189e-47,2.9752094445148e-44
"GPD1","GPD1","2819",0.985871120770652,1.31535247445513,13.4039973447341,3.66147246151678e-41,6.33760200061205e-38
"PTGER3","PTGER3","5733",0.895771745341418,-0.27476876503511,12.7890176668388,1.15753607195213e-37,1.6392815389882e-34
"MCEMP1","MCEMP1","199675",0.85831138920987,4.28496133601771,11.0200807280447,1.71157859615018e-28,2.2219142809023e-25
"AQP3","AQP3","360",0.892146168679764,1.7351259328611,9.87782804087897,2.79449973153491e-23,3.34867052445007e-20
"MLPH","MLPH","79083",0.848650796973646,0.783651977686003,9.2206516988839,1.5611256364704e-20,1.62128101099573e-17
"STXBP2","STXBP2","6813",0.818923652088084,3.70419058435558,8.0447679899829,4.46333602014977e-16,4.16580100848535e-13
"LPL","LPL","4023",0.839707003021574,2.13007407027762,8.04251409511859,4.54606606395243e-16,4.16580100848535e-13
"SLC19A3","SLC19A3","80704",0.792748951066044,-0.0732667746615246,8.03251525783793,4.93166870713438e-16,4.26808528442996e-13
"VGLL3","VGLL3","389136",0.755146603577666,-0.566242753908032,7.61071774298237,1.39900946824644e-14,1.14704049980753e-11
"SERPING1","SERPING1","710",0.804631756725535,2.95899394571388,7.55832140664236,2.09415758489232e-14,1.63113934287263e-11
"C1QB","C1QB","713",0.798603197368567,5.91472183652035,7.26551234381177,1.89908047125108e-13,1.38562395493745e-10
"MYB","MYB","4602",0.778967558814075,0.146252444399244,7.26145477757662,1.95684471746206e-13,1.38562395493745e-10
"CPE","CPE","1363",0.783726324111219,0.560309242761283,7.11072424448473,5.88855394543974e-13,3.98834318965479e-10
"PNPLA6","PNPLA6","10908",0.749161299228596,2.73781874867682,7.01637565299566,1.16033388352015e-12,7.53153384894872e-10
"ITSN1","ITSN1","6453",0.754889058946201,-0.27278214832439,6.97974381231668,1.5063858790758e-12,9.38659168969711e-10
"C1QA","C1QA","712",0.746283890756061,6.40413527947615,6.48559537764717,4.48126801389151e-11,2.58552567112599e-08
"ACO1","ACO1","48",0.763897101279032,1.44235818255143,6.37752807598174,9.11693939940749e-11,5.07227435585607e-08
"IGFBP2","IGFBP2","3485",0.831674954180104,0.517222522774339,6.13330614952842,4.35217573113875e-10,2.25993978465598e-07
"QSOX1","QSOX1","5768",0.744113672554491,2.30684401256022,6.08872638340978,5.7530888478708e-10,2.89101993781069e-07
"TMEM273","TMEM273","170371",0.756343045905584,0.681941458456155,5.97011085362589,1.19751015603799e-09,5.82962912836242e-07
"ECSCR","ECSCR","641700",0.732200554744308,0.177383668829068,5.80055751173999,3.33474784897901e-09,1.57420309064834e-06
"RSPO3","RSPO3","84870",0.690345363797836,-0.6226837241427,5.17488718286521,1.14688477901954e-07,5.10462031073324e-05
"C1QC","C1QC","714",0.730720446965194,4.66188879934688,5.02900811473074,2.47797099079469e-07,1.0432927593135e-04
"GLDN","GLDN","342035",0.724485840521883,0.526043024986631,4.8826042283301,5.25904465254056e-07,2.100651220443e-04
"IRS2","IRS2","8660",0.7104704035121,1.22099890386484,4.1195039565578,1.90305128164255e-05,0.00723066655254331
"CES1","CES1","1066",0.722713030036979,2.8036152467795,3.99486420947511,3.24355689996888e-05,0.012030506997075
"FOLR3","FOLR3","2352",0.692125066257842,1.2732416424689,3.68204085161415,1.15870864172067e-04,0.0419775888854059
"TSPAN3","TSPAN3","10099",0.68521790030593,1.311008178674,3.617470082739,1.48969390950849e-04,0.0527419357325527
"RBP4","RBP4","5950",0.716897847202534,1.49495927065819,3.27864004945863,5.22080354013929e-04,0.176803646844109
"CCND3","CCND3","896",0.667484523196634,1.65551676436903,3.14762225605979,8.23750899313697e-04,0.273029606585293
"TGM2","TGM2","7052",0.692876928567152,1.61660526477688,3.03948044503387,0.00118585697873811,0.384860000307965
"SVIL","SVIL","6840",0.662565440149361,1.87850317751593,2.96672995605482,0.00150600018699195,0.478785120672664
"PARAL1","PARAL1","101929371",0.664120856862103,1.19234387221458,2.90720603942066,0.00182457360561776,0.568464152566271
"PPIC","PPIC","5480",0.654199000115574,0.638473791206262,2.44215334851623,0.00730256739697305,1
"CD52","CD52","1043",0.63852493628928,5.33148305463248,2.38312821418762,0.00858590827870913,1
"ALOX5AP","ALOX5AP","241",0.633992177448345,4.74965155119764,2.14292642654689,0.0160631348907124,1
"FAM89A","FAM89A","375061",0.634638024528158,2.04916066050281,2.00126547527434,0.0226859651275767,1
"LGALS3BP","LGALS3BP","3959",0.628555828152829,3.28266473289002,1.87591876665521,0.0303376108216798,1
"ADGRE1","ADGRE1","2015",0.627478892541932,0.0964653909837446,1.61982807414885,0.0526393662391218,1
"TRHDE","TRHDE","29953",0.619872802632962,-0.471389044432846,1.59112636420622,0.0557953411327164,1
"SLCO2B1","SLCO2B1","11309",0.618977213966376,2.19910151046712,1.29159575296075,0.0982530935320871,1
"GYPC","GYPC","2995",0.614524296592015,2.70352011810794,1.2501814946855,0.105621043178912,1
"RHBDD2","RHBDD2","57414",0.606742671083569,1.40233925842057,0.81132188673428,0.208593336701455,1
"MRC1","MRC1","4360",0.602930828809411,4.15338429614502,0.743053762741647,0.228727200386988,1
"THBS1","THBS1","7057",0.606899568289231,0.41880331969488,0.682822716420058,0.247361824219928,1
"ALAS1","ALAS1","211",0.594813365513819,1.40615861735984,0.328323592560087,0.3713345414296,1
"LIMA1","LIMA1","51474",0.593472698013562,0.864962926129794,0.293701649744341,0.384493866762282,1
