library_id,molecule_h5
C133_1,/stornext/Projects/score/2021_Sequencing_Runs/210312_A01221_0027_BHJ7TKDSXY/CellRanger/C133_1/outs/molecule_info.h5
C133_2,/stornext/Projects/score/2021_Sequencing_Runs/210312_A01221_0027_BHJ7TKDSXY/CellRanger/C133_2/outs/molecule_info.h5
